redcharm174 - squirrel114 - usecharm time: 32672194
coppercrab276 - wolf80 - establishtarget time: 32672200
wolf80 - spawnhole67 - establishtarget time: 32672200
coppercrab276 - wolf80 - movestep time: 32672200
wolf80 - spawnhole67 - movestep time: 32672200
coppercrab276 - coppercrab278 - engagecombat time: 32672200
wolf80 - spawnhole67 - engagecombat time: 32672200
wolf80 - spawnhole67 - attack time: 32672200
wolf80 - spawnhole67 - damage time: 32672200
coppercrab276 - coppercrab278 - attack time: 32672200
wolf80 - spawnhole67 - idle time: 32672200
coppercrab276 - coppercrab278 - damage time: 32672200
coppercrab276 - coppercrab278 - idle time: 32672200
coppercrab276 - wolf80 - establishtarget time: 32672202
coppercrab278 - wolf80 - establishtarget time: 32672202
coppercrab276 - wolf80 - movestep time: 32672202
coppercrab278 - wolf80 - movestep time: 32672202
wolf80 - spawnhole67 - establishtarget time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
wolf80 - spawnhole67 - movestep time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
wolf80 - spawnhole67 - engagecombat time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
wolf80 - spawnhole67 - attack time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
wolf80 - spawnhole67 - damage time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
wolf80 - spawnhole67 - idle time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movenorth time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - movestep time: 32672202
coppercrab278 - wolf80 - movenorth time: 32672202
coppercrab276 - wolf80 - engagecombat time: 32672202
coppercrab278 - wolf80 - movestep time: 32672202
coppercrab276 - wolf80 - attack time: 32672202
coppercrab278 - wolf80 - idle time: 32672202
coppercrab276 - wolf80 - damage time: 32672202
coppercrab276 - wolf80 - idle time: 32672202
wolf78 - coppercrab276 - establishtarget time: 32672202
wolf78 - coppercrab276 - movestep time: 32672202
wolf78 - coppercrab276 - movesouth time: 32672202
wolf78 - coppercrab276 - movesouth time: 32672202
